,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
spectral_5_PCA_768,0.3728,0.7764,0.1514,1.8,339.9
agglomerative_cosine_2_PCA_3,0.392,0.8914,0.2217,1.8,181.3
kmeans_cosine_3_isomap_7,0.4063,0.889,0.2144,1.8,194.1
agglomerative_4_isomap_3,0.4016,0.8855,0.205,1.8,190.7
kmeans_4_isomap_7,0.3888,0.8862,0.2054,1.8,189.6
kmeans_cosine_5_isomap_3,0.3929,0.8825,0.2115,1.8,184.8
kmeans_cosine_5_isomap_7,0.3921,0.8937,0.2142,1.8,180.0
kmeans_euclidean_constr_7_isomap_768,0.4337,0.8928,0.2178,1.8,174.5
kmeans_cosine_5_PCA_2,0.4027,0.8726,0.1819,1.8,284.1
agglomerative_cosine_PCA_variable,0.4136,0.8901,0.2057,1.8,188.6
kmeans_euclidean_constr_7_isomap_3,0.3976,0.889,0.2083,1.8,191.4
kmeans_2_PCA_768,0.3934,0.8973,0.2199,1.8,171.4
kmeans_isomap_variable,0.4042,0.8899,0.204,1.8,188.4
kmeans_cosine_5_isomap_768,0.4175,0.8932,0.2192,1.8,189.2
agglomerative_3_isomap_5,0.3838,0.8851,0.2124,1.8,186.8
kmeans_euclidean_constr_7_isomap_2,0.4164,0.8942,0.2253,1.8,174.7
agglomerative_isomap_variable,0.4007,0.8865,0.2129,1.8,180.7
kmeans_euclidean_constr_5_isomap_768,0.3957,0.8755,0.1893,1.8,209.2
agglomerative_3_isomap_3,0.3819,0.8831,0.2014,1.8,187.1
kmeans_cosine_4_PCA_7,0.3265,0.7876,0.0868,1.8,390.9
kmeans_cosine_2_PCA_2,0.4054,0.8922,0.2238,1.9,186.1
kmeans_euclidean_constr_5_PCA_2,0.4205,0.8947,0.2125,1.9,186.7
kmeans_7_PCA_7,0.3993,0.8882,0.1952,1.9,189.3
kmeans_2_isomap_2,0.4009,0.894,0.2192,1.9,178.6
kmeans_euclidean_constr_4_PCA_2,0.4111,0.8902,0.2105,1.9,187.0
kmeans_cosine_4_isomap_5,0.3952,0.8823,0.1984,1.9,234.6
kmeans_3_isomap_3,0.3996,0.8902,0.217,1.9,180.6
kmeans_euclidean_constr_2_PCA_3,0.3961,0.8956,0.221,1.9,174.8
kmeans_5_isomap_7,0.4031,0.8878,0.2033,1.9,185.2
kmeans_4_isomap_3,0.4153,0.8908,0.2125,1.9,185.9
agglomerative_cosine_2_PCA_768,0.3871,0.8912,0.2017,1.9,196.7
kmeans_cosine_4_isomap_2,0.3851,0.8696,0.1409,1.9,267.8
kmeans_7_PCA_2,0.4088,0.8934,0.2051,1.9,191.8
spectral_3_PCA_5,0.3991,0.8882,0.2032,1.9,202.9
agglomerative_7_PCA_768,0.3876,0.8834,0.1852,1.9,190.0
kmeans_2_PCA_3,0.3969,0.8971,0.2198,1.9,176.2
kmeans_cosine_4_PCA_2,0.3542,0.8072,0.095,1.9,376.9
agglomerative_cosine_7_isomap_5,0.4373,0.892,0.2132,1.9,191.0
agglomerative_cosine_7_isomap_3,0.401,0.8903,0.2059,1.9,182.0
spectral_2_PCA_5,0.4218,0.8992,0.2229,1.9,183.5
agglomerative_2_PCA_2,0.3924,0.896,0.2154,1.9,175.6
agglomerative_7_isomap_10,0.4306,0.89,0.211,1.9,195.2
kmeans_4_PCA_3,0.4054,0.8888,0.2056,1.9,189.0
kmeans_cosine_PCA_variable,0.4015,0.8847,0.1963,1.9,196.4
kmeans_euclidean_constr_3_isomap_3,0.4014,0.8902,0.2196,1.9,179.2
agglomerative_cosine_4_isomap_5,0.4409,0.8924,0.2121,1.9,194.2
kmeans_cosine_4_PCA_768,0.3824,0.8925,0.203,1.9,180.0
spectral_3_PCA_7,0.4251,0.8881,0.2118,1.9,213.3
kmeans_euclidean_constr_2_isomap_2,0.4045,0.8931,0.2215,1.9,177.0
agglomerative_4_PCA_7,0.3958,0.8866,0.1973,1.9,192.1
agglomerative_cosine_isomap_variable,0.4194,0.89,0.2122,1.9,193.8
agglomerative_cosine_2_isomap_768,0.3871,0.8912,0.2017,1.9,196.7
spectral_7_PCA_3,0.3777,0.8868,0.1835,1.9,186.6
agglomerative_4_isomap_5,0.3985,0.8819,0.2068,1.9,195.7
kmeans_5_isomap_5,0.411,0.8874,0.2038,1.9,188.1
agglomerative_5_PCA_768,0.3804,0.8805,0.19,2.0,201.7
agglomerative_5_isomap_5,0.407,0.8889,0.2055,2.0,186.2
agglomerative_cosine_2_PCA_5,0.3934,0.896,0.2204,2.0,176.9
kmeans_cosine_5_isomap_10,0.3865,0.8747,0.1571,2.0,245.2
kmeans_cosine_3_isomap_10,0.4113,0.8911,0.2158,2.0,192.7
agglomerative_4_isomap_10,0.408,0.8834,0.2094,2.0,186.0
kmeans_cosine_7_PCA_10,0.3406,0.821,0.1487,2.0,262.8
kmeans_cosine_7_PCA_5,0.3684,0.8605,0.1384,2.0,301.1
kmeans_cosine_7_PCA_3,0.3888,0.8816,0.1596,2.0,262.8
kmeans_cosine_5_PCA_10,0.354,0.8262,0.1193,2.0,313.9
kmeans_cosine_5_PCA_5,0.3739,0.8112,0.1088,2.0,339.6
kmeans_cosine_4_PCA_10,0.3659,0.8014,0.1285,2.0,292.4
kmeans_cosine_4_PCA_3,0.3966,0.8358,0.1689,2.0,302.7
agglomerative_cosine_2_PCA_2,0.3966,0.8928,0.2243,2.0,178.1
kmeans_2_PCA_10,0.3964,0.8967,0.2179,2.0,179.9
kmeans_3_PCA_5,0.3857,0.884,0.2116,2.0,189.0
agglomerative_cosine_7_isomap_2,0.4117,0.8923,0.2163,2.0,178.4
agglomerative_cosine_4_isomap_10,0.4327,0.8898,0.2139,2.0,195.5
kmeans_5_PCA_2,0.4225,0.8954,0.2108,2.0,185.1
agglomerative_4_PCA_768,0.3908,0.8864,0.1982,2.0,197.8
agglomerative_cosine_3_isomap_2,0.4166,0.8884,0.2198,2.0,191.2
kmeans_5_PCA_10,0.4026,0.882,0.1901,2.0,199.5
agglomerative_7_PCA_5,0.4021,0.8891,0.2013,2.0,191.2
agglomerative_cosine_7_PCA_3,0.4009,0.8789,0.1875,2.0,206.5
kmeans_3_isomap_5,0.4055,0.8885,0.2152,2.0,182.6
kmeans_3_PCA_2,0.3996,0.889,0.2073,2.0,189.9
agglomerative_cosine_3_isomap_10,0.4338,0.8948,0.2315,2.0,181.0
kmeans_7_PCA_768,0.4124,0.8919,0.2076,2.0,180.7
kmeans_euclidean_constr_2_PCA_10,0.398,0.8962,0.2204,2.0,178.6
kmeans_euclidean_constr_3_isomap_5,0.4083,0.889,0.2178,2.0,181.9
kmeans_euclidean_constr_3_PCA_768,0.3853,0.886,0.2153,2.0,185.5
specter_simcse_kmeans_7_PCA_7,0.239,0.8183,0.1123,2.0,263.6
kmeans_euclidean_constr_5_PCA_10,0.4173,0.8853,0.1995,2.0,196.6
agglomerative_4_PCA_2,0.4089,0.8949,0.2072,2.0,184.8
kmeans_euclidean_constr_3_isomap_768,0.3853,0.886,0.2153,2.0,185.5
spectral_5_PCA_5,0.385,0.8825,0.1846,2.0,212.4
kmeans_euclidean_constr_5_isomap_7,0.4032,0.8887,0.2039,2.0,182.6
agglomerative_3_PCA_2,0.3966,0.8917,0.2103,2.1,181.3
agglomerative_3_PCA_3,0.388,0.8877,0.2026,2.1,193.9
agglomerative_2_PCA_10,0.3789,0.8989,0.2139,2.1,173.7
