,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
scibert_average_agglomerative_7_PCA_3,0.523,0.6834,0.4504,1.6,19.1
scibert_average_agglomerative_7_isomap_2,0.4983,0.6998,0.4476,1.6,18.3
scibert_average_agglomerative_4_PCA_10,0.5274,0.6864,0.4473,1.6,19.4
scibert_average_agglomerative_5_PCA_10,0.5273,0.685,0.4472,1.6,19.3
scibert_average_kmeans_4_PCA_2,0.5432,0.6789,0.4413,1.3,19.3
scibert_average_agglomerative_3_PCA_3,0.5401,0.6772,0.4395,1.5,19.5
scibert_average_agglomerative_4_PCA_2,0.5407,0.6776,0.4383,1.5,19.4
scibert_average_kmeans_3_PCA_3,0.5422,0.6776,0.4376,1.3,19.5
scibert_average_agglomerative_5_isomap_10,0.5407,0.6903,0.4375,1.4,19.1
scibert_average_kmeans_3_PCA_7,0.5381,0.6768,0.4373,1.3,19.3
scibert_average_kmeans_3_PCA_2,0.5381,0.6762,0.4369,1.3,19.4
scibert_average_agglomerative_3_PCA_2,0.5373,0.6747,0.4368,1.5,19.6
scibert_average_agglomerative_7_PCA_7,0.4974,0.6615,0.4342,2.1,19.5
scibert_average_kmeans_7_isomap_3,0.5367,0.685,0.4314,1.3,19.0
scibert_average_agglomerative_4_PCA_7,0.5024,0.6706,0.4313,1.6,19.4
scibert_average_agglomerative_5_PCA_7,0.4954,0.6693,0.4311,1.9,19.2
scibert_average_kmeans_3_isomap_3,0.4578,0.6876,0.4303,2.4,18.5
scibert_average_kmeans_3_isomap_10,0.4713,0.6888,0.4298,2.1,18.3
scibert_average_kmeans_3_isomap_5,0.4703,0.6852,0.429,2.1,18.5
scibert_average_kmeans_5_isomap_2,0.4659,0.6829,0.4283,2.1,18.7
scibert_average_agglomerative_5_isomap_2,0.4631,0.6828,0.4278,2.2,18.9
scibert_average_agglomerative_3_isomap_7,0.463,0.6807,0.4269,2.8,18.5
scibert_average_kmeans_3_isomap_7,0.4569,0.6847,0.4264,2.9,18.2
scibert_average_agglomerative_5_isomap_7,0.5074,0.6773,0.4259,1.5,19.3
scibert_average_agglomerative_3_isomap_5,0.4595,0.681,0.4256,3.0,18.4
scibert_average_agglomerative_4_isomap_10,0.4967,0.6882,0.4245,1.4,18.7
scibert_average_agglomerative_4_isomap_2,0.4596,0.6794,0.4233,2.2,18.6
scibert_average_kmeans_3_isomap_2,0.4531,0.6807,0.4218,2.3,18.4
scibert_average_kmeans_4_isomap_2,0.454,0.6752,0.4182,2.1,18.5
scibert_average_agglomerative_5_isomap_5,0.4924,0.6722,0.418,1.5,18.9
scibert_average_agglomerative_4_isomap_7,0.4748,0.6764,0.4174,1.5,19.0
scibert_average_agglomerative_3_isomap_10,0.4531,0.6746,0.4168,2.9,18.5
scibert_average_kmeans_5_isomap_7,0.5038,0.6673,0.4161,1.4,19.2
scibert_average_agglomerative_5_isomap_3,0.4734,0.671,0.4154,1.5,19.1
scibert_average_kmeans_4_isomap_10,0.4631,0.6755,0.4153,1.8,18.6
