,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_3_PCA_768,0.6713,0.8102,0.5939,1.5,15.6
kmeans_7_PCA_7,0.6711,0.8235,0.6127,1.7,14.7
agglomerative_cosine_7_isomap_3,0.6708,0.8429,0.6427,1.8,13.0
spectral_2_PCA_3,0.6706,0.8144,0.6148,1.5,14.7
kmeans_cosine_5_isomap_768,0.6706,0.8201,0.6071,1.5,15.1
spectral_2_PCA_10,0.6696,0.8019,0.5868,1.4,15.6
kmeans_euclidean_constr_7_isomap_10,0.669,0.8219,0.6022,1.5,14.7
spectral_4_PCA_7,0.6687,0.8088,0.5898,1.4,15.2
agglomerative_cosine_2_PCA_5,0.6685,0.8093,0.5911,1.5,15.1
kmeans_4_PCA_3,0.6678,0.8316,0.6263,1.7,13.8
kmeans_3_PCA_10,0.6678,0.8087,0.5957,1.5,14.9
kmeans_euclidean_constr_7_PCA_2,0.6677,0.8268,0.6146,1.8,13.8
agglomerative_7_PCA_5,0.6675,0.8326,0.6167,1.7,14.0
kmeans_4_PCA_10,0.6672,0.8369,0.6292,1.9,13.7
kmeans_7_isomap_2,0.6666,0.8335,0.6081,1.6,13.8
agglomerative_cosine_4_isomap_10,0.6663,0.8267,0.6041,1.6,14.8
agglomerative_2_isomap_10,0.6661,0.8122,0.5901,1.5,15.1
kmeans_euclidean_constr_3_PCA_2,0.6661,0.813,0.5906,1.6,15.0
agglomerative_5_PCA_7,0.666,0.818,0.5993,1.6,14.5
kmeans_cosine_7_isomap_7,0.6658,0.7923,0.5615,1.4,18.6
agglomerative_5_PCA_768,0.6657,0.8294,0.6088,1.7,14.6
kmeans_euclidean_constr_4_PCA_3,0.6656,0.8294,0.6246,1.7,13.7
agglomerative_5_PCA_5,0.6655,0.8271,0.6071,1.7,14.6
agglomerative_7_PCA_768,0.6655,0.8369,0.6173,1.8,14.3
kmeans_3_PCA_2,0.6654,0.8117,0.5894,1.6,15.0
agglomerative_4_isomap_5,0.6651,0.8256,0.6091,1.5,14.5
kmeans_3_PCA_7,0.6646,0.8044,0.589,1.5,15.4
agglomerative_cosine_7_PCA_3,0.6644,0.8295,0.6278,1.8,13.9
agglomerative_3_PCA_5,0.664,0.8068,0.587,1.5,15.5
agglomerative_cosine_7_PCA_10,0.6638,0.8336,0.6267,1.8,13.4
agglomerative_cosine_2_PCA_768,0.6636,0.8053,0.5954,1.6,15.6
agglomerative_cosine_2_isomap_768,0.6636,0.8053,0.5954,1.6,15.6
kmeans_4_isomap_3,0.6632,0.8282,0.6142,1.7,13.9
kmeans_euclidean_constr_3_PCA_10,0.6628,0.8072,0.5922,1.5,14.9
kmeans_5_PCA_10,0.6625,0.8226,0.6144,1.8,14.1
kmeans_4_PCA_7,0.662,0.8325,0.6228,1.8,14.1
kmeans_5_isomap_3,0.662,0.8333,0.6185,1.7,13.9
kmeans_7_isomap_10,0.6614,0.8163,0.5942,1.6,15.3
kmeans_cosine_2_PCA_10,0.6611,0.811,0.5913,1.5,15.2
kmeans_euclidean_constr_5_PCA_10,0.6608,0.8176,0.6001,1.8,14.9
kmeans_euclidean_constr_4_PCA_7,0.6608,0.831,0.6203,1.8,14.1
agglomerative_3_PCA_10,0.6607,0.8071,0.584,1.5,15.5
agglomerative_cosine_7_PCA_7,0.66,0.8283,0.6265,1.9,13.9
mean,0.6597,0.7986,0.5972,1.5,15.3
agglomerative_5_isomap_3,0.6597,0.839,0.6184,1.7,13.9
kmeans_euclidean_constr_3_PCA_7,0.6597,0.8019,0.5852,1.5,15.4
spectral_2_PCA_7,0.6596,0.8177,0.593,1.5,15.1
agglomerative_cosine_4_PCA_5,0.6591,0.8309,0.6185,1.7,14.2
kmeans_euclidean_constr_4_PCA_10,0.6591,0.8315,0.6187,1.9,13.9
kmeans_euclidean_constr_4_isomap_3,0.659,0.8257,0.61,1.7,13.9
agglomerative_3_PCA_3,0.6588,0.8093,0.5877,1.5,15.0
kmeans_cosine_3_PCA_5,0.6586,0.8008,0.591,1.4,14.9
kmeans_cosine_3_isomap_5,0.6585,0.8123,0.6063,1.6,15.4
agglomerative_3_PCA_2,0.6583,0.8181,0.5945,1.5,14.2
kmeans_5_isomap_7,0.6581,0.8287,0.6242,1.7,13.9
agglomerative_cosine_2_PCA_7,0.6581,0.8059,0.5885,1.5,14.8
kmeans_5_isomap_5,0.6574,0.8247,0.6065,1.7,14.8
agglomerative_cosine_5_isomap_3,0.6572,0.8336,0.6214,1.8,13.9
agglomerative_2_isomap_2,0.657,0.8091,0.586,1.5,15.4
agglomerative_cosine_4_isomap_7,0.6564,0.8229,0.5906,1.6,15.2
kmeans_5_isomap_10,0.6562,0.8284,0.6208,1.7,13.8
spectral_5_PCA_3,0.6562,0.8171,0.5805,1.5,15.8
agglomerative_4_PCA_3,0.6561,0.8261,0.6055,1.8,14.4
kmeans_euclidean_constr_5_isomap_3,0.6561,0.8293,0.6133,1.7,13.9
agglomerative_cosine_5_PCA_7,0.6559,0.8285,0.6167,1.9,14.2
spectral_3_PCA_7,0.6557,0.809,0.5865,1.5,15.1
kmeans_euclidean_constr_5_PCA_2,0.6555,0.8388,0.6339,1.7,12.9
spectral_5_PCA_10,0.6555,0.7922,0.5836,1.5,16.3
kmeans_euclidean_constr_7_PCA_7,0.6552,0.8297,0.6024,1.8,13.5
spectral_7_PCA_10,0.6548,0.796,0.5869,1.5,15.4
agglomerative_cosine_5_isomap_10,0.6548,0.8189,0.5987,1.6,15.1
agglomerative_cosine_4_PCA_7,0.6547,0.8263,0.6201,1.9,14.1
kmeans_cosine_5_isomap_10,0.6544,0.8231,0.608,1.7,14.7
kmeans_euclidean_constr_5_isomap_7,0.6543,0.826,0.6207,1.7,13.9
agglomerative_4_isomap_2,0.6537,0.8195,0.6051,1.6,14.2
agglomerative_cosine_2_isomap_3,0.6536,0.8087,0.5885,1.5,15.1
agglomerative_cosine_2_PCA_2,0.6535,0.8064,0.5858,1.5,15.1
kmeans_5_PCA_5,0.6533,0.8235,0.6089,1.7,14.2
agglomerative_cosine_7_isomap_768,0.6533,0.8184,0.5995,1.5,14.9
agglomerative_2_isomap_3,0.6533,0.8072,0.5833,1.5,15.2
agglomerative_cosine_7_PCA_768,0.6533,0.8184,0.5995,1.5,14.9
kmeans_euclidean_constr_5_isomap_10,0.6532,0.8238,0.6134,1.7,14.2
agglomerative_cosine_5_isomap_5,0.6528,0.8168,0.599,1.7,14.7
agglomerative_cosine_5_PCA_10,0.6524,0.827,0.6126,2.0,14.2
agglomerative_cosine_4_PCA_768,0.6524,0.7958,0.5795,1.4,15.3
agglomerative_cosine_4_isomap_768,0.6524,0.7958,0.5795,1.4,15.3
kmeans_7_PCA_2,0.6523,0.822,0.6006,1.8,13.9
kmeans_euclidean_constr_5_PCA_5,0.6522,0.8225,0.6078,1.7,14.3
kmeans_euclidean_constr_4_PCA_5,0.6521,0.8276,0.6172,1.9,14.0
kmeans_euclidean_constr_5_isomap_5,0.652,0.8206,0.6017,1.7,14.8
kmeans_cosine_4_isomap_768,0.6519,0.8275,0.621,1.8,14.4
spectral_4_PCA_3,0.6518,0.818,0.5869,1.6,15.5
kmeans_4_PCA_5,0.6512,0.8276,0.6168,1.9,14.0
kmeans_4_isomap_7,0.6505,0.8145,0.5918,1.7,15.0
kmeans_5_PCA_2,0.6505,0.8365,0.63,1.7,13.0
kmeans_4_isomap_5,0.65,0.8165,0.5941,1.7,15.2
spectral_2_PCA_768,0.6499,0.7953,0.5959,1.6,15.4
kmeans_cosine_2_PCA_2,0.6499,0.8093,0.5898,1.6,15.2
kmeans_euclidean_constr_4_isomap_7,0.6496,0.8145,0.5915,1.7,14.9
agglomerative_cosine_5_PCA_3,0.6494,0.8284,0.6112,1.8,14.2
agglomerative_3_isomap_3,0.6494,0.7983,0.5685,1.4,15.0
kmeans_euclidean_constr_4_isomap_5,0.6491,0.8165,0.5939,1.7,15.1
agglomerative_cosine_7_isomap_5,0.6491,0.8142,0.6093,1.9,14.1
agglomerative_4_PCA_7,0.6489,0.818,0.5911,1.7,14.4
agglomerative_3_isomap_5,0.6486,0.7941,0.5757,1.5,15.5
agglomerative_cosine_2_isomap_10,0.6485,0.808,0.5828,1.5,15.0
kmeans_cosine_5_PCA_2,0.6484,0.8053,0.5754,1.6,17.1
agglomerative_3_PCA_7,0.6469,0.7986,0.578,1.6,15.2
agglomerative_cosine_7_isomap_10,0.6466,0.8194,0.6003,1.8,14.6
kmeans_cosine_2_isomap_768,0.6464,0.8122,0.6083,1.8,15.1
kmeans_3_PCA_5,0.6462,0.7988,0.5785,1.6,15.2
kmeans_2_isomap_2,0.6462,0.8151,0.5925,1.6,14.9
kmeans_euclidean_constr_2_isomap_2,0.6462,0.8151,0.5925,1.6,14.9
kmeans_4_isomap_10,0.646,0.8168,0.5977,1.8,14.6
kmeans_cosine_5_PCA_7,0.646,0.7617,0.5121,1.6,19.4
kmeans_4_isomap_2,0.6456,0.8206,0.6036,1.7,14.1
kmeans_cosine_2_PCA_3,0.6453,0.8022,0.5788,1.5,15.2
kmeans_cosine_7_PCA_3,0.6452,0.794,0.5457,1.5,17.5
kmeans_euclidean_constr_4_isomap_2,0.645,0.8201,0.6031,1.7,14.1
kmeans_2_isomap_5,0.6449,0.8136,0.5924,1.6,14.9
kmeans_euclidean_constr_2_isomap_5,0.6449,0.8136,0.5924,1.6,14.9
kmeans_3_isomap_3,0.6446,0.8076,0.5888,1.6,15.3
agglomerative_cosine_3_PCA_5,0.644,0.8064,0.5817,1.5,15.4
kmeans_euclidean_constr_5_PCA_768,0.644,0.8162,0.598,1.9,14.6
kmeans_euclidean_constr_4_isomap_10,0.644,0.8158,0.5963,1.8,14.5
kmeans_euclidean_constr_5_isomap_768,0.644,0.8162,0.598,1.9,14.6
spectral_4_PCA_5,0.6435,0.7891,0.5642,1.3,15.7
kmeans_euclidean_constr_3_isomap_3,0.6433,0.8077,0.5877,1.6,15.3
kmeans_3_isomap_7,0.6432,0.8035,0.5809,1.6,15.4
kmeans_cosine_3_isomap_3,0.6431,0.7969,0.5893,1.6,15.6
kmeans_2_isomap_7,0.6427,0.8105,0.5865,1.6,14.9
kmeans_euclidean_constr_2_isomap_7,0.6427,0.8105,0.5865,1.6,14.9
agglomerative_5_isomap_7,0.6427,0.8216,0.5969,1.7,15.0
agglomerative_cosine_2_isomap_2,0.6426,0.8095,0.5837,1.6,14.7
kmeans_cosine_4_isomap_3,0.6424,0.7939,0.5691,1.7,17.1
agglomerative_cosine_3_isomap_3,0.6424,0.8108,0.587,1.6,14.3
kmeans_euclidean_constr_3_isomap_7,0.6423,0.8037,0.5804,1.6,15.4
agglomerative_cosine_4_isomap_5,0.6422,0.8134,0.5782,1.7,15.4
agglomerative_cosine_5_PCA_2,0.642,0.8072,0.5862,1.8,15.2
spectral_2_PCA_5,0.6417,0.8019,0.5834,1.5,15.1
max_articles,0.6417,0.8088,0.5981,2.0,15.2
spectral_4_PCA_10,0.6416,0.7953,0.5785,1.6,15.7
kmeans_euclidean_constr_2_isomap_3,0.6415,0.8137,0.5921,1.6,14.8
kmeans_2_isomap_3,0.6415,0.8137,0.5921,1.6,14.8
spectral_7_PCA_5,0.6413,0.8024,0.5728,1.4,15.0
kmeans_2_isomap_10,0.6412,0.8095,0.5852,1.6,15.0
