name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
Αγγελική Δημητρακοπούλου,Angeliki Dimitrakopoulou,Επιστημών Προσχολικής Αγωγής &  Εκπαιδευτικού Σχεδιασμού,aegean,Καθηγητής,4399,Angelique Dimitracopoulou,vjVYyXwAAAAJ
Ιωάννης Δημόπουλος,Ioannis Dimopoulos,Πληροφορικής,University of Cyprus,Καθηγητής,1879,"Ioannis Dimopoulos, Ioannis F. Dimopoulos, Yannis Dimopoulos",DWfINNgAAAAJ
Νικόλαος Διαμαντής,Nikolaos Diamantis,School of Mathematical Science,University of Nottingham,Αναπληρωτής Καθηγητής,2863,Unknown,Unknown
Βασίλειος Διγαλάκης,Vasileios Digalakis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,tuc,Καθηγητής,4463,Vassilis Digalakis,8LcwaSYAAAAJ
Απόστολος Δόλλας,Apostolos Dollas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,tuc,Καθηγητής,19914,Apostolos Dollas,4Q-zncUAAAAJ
Ιωάννης Δολόγλου,Ioannis Dologlou,Ινστιτούτο Επεξεργασίας του Λόγου,athena-innovation,Διευθυντής Ερευνών,17763,ioannis dologlou,gR1xCV8AAAAJ
Ζωή Δουλγέρη,Zoi Doulgeri,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18259,Zoe Doulgeri,ubUmUrcAAAAJ
Χρήστος Δουληγέρης,Christos Douligeris,Πληροφορικής,unipi,Καθηγητής,18820,Christos Douligeris,f7-JRJUAAAAJ
Γεώργιος Έλληνας,Georgios Ellinas,Electrical and Computer Engineering,University of Cyprus,Αναπληρωτής Καθηγητής,5840,Georgios Ellinas,5_21xI8AAAAJ
Ιωάννης Εμίρης,Ioannis Emiris,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,4425,Ioannis Emiris,ZK6y-cIAAAAJ
Γεώργιος Ευαγγελίδης,Georgios Evangelidis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,6852,Georgios Evangelidis,DeNMec4AAAAJ
Παύλος Εφραιμίδης,Pavlos Efraimidis,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,duth,Αναπληρωτής Καθηγητής,18194,Pavlos S. Efraimidis,Dxz0pLsAAAAJ
Ξενοφών  Ζαμπούλης,Xenofon  Zampoulis,Ινστιτούτο Πληροφορικής,forth,Κύριος Ερευνητής,17927,Xenophon Zabulis,mT6JlBIAAAAJ
Ιωάννης Ζάννος ,Ioannis Zannos ,Τεχνών Ήχου και Εικόνας,ionio,Καθηγητής,11497,Iannis Zannos,I-UWrxUAAAAJ
Νικόλαος Ζαράνης,Nikolaos Zaranis,Παιδαγωγικό Προσχολικής Εκπαίδευσης,uoc, Καθηγητής,18135,Nicholas Zaranis,6gocJEwAAAAJ
Χρήστος Ζαρολιάγκης,Christos Zaroliagkis,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,18315,Christos Zaroliagis,L3AQ8wkAAAAJ
Απόστολος Ζάρρας,Apostolos Zarras,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,1150,Apostolos Zarras,9nXN6XYAAAAJ
Μιχαήλ Ζερβάκης,Michail Zervakis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,tuc,Καθηγητής,10147,Michalis Zervakis,-wlbrYcAAAAJ
Μιχάλης Ζέρβας,Michalis Zervas,Optoelectronics Research Centre,University of Southampton,Καθηγητής,1067,Michalis N. Zervas,inm2aNQAAAAJ
Βασίλειος Ζησιμόπουλος,Vasileios Zisimopoulos,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,9507,Ioannis Zisimopoulos,2Pjs6TkAAAAJ
 Κυριάκος Ζωηρός, Kyriakos Zoiros,Ηλεκτρολόγων Μηχανικών & Μηχανικών Η/Υ,duth,Αναπληρωτής Καθηγητής,19606,KYRIAKOS ZOIROS,KcVeVFkAAAAJ
Ιωάννης Θεοδωρίδης,Ioannis Theodoridis,Πληροφορικής,unipi,Καθηγητής,7814,Yannis Theodoridis,1f5twhoAAAAJ
Ιωάννης Θεοχάρης,Ioannis Theocharis,Ηλεκτρολόγων Μηχ και Μηχ Υπολογιστών,auth,Καθηγητής,7754,Ioannis Theocharis,AbUzPocAAAAJ
Θεοχάρης Θεοχάρης ,Theocharis Theocharis ,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,8989,Theoharis Theoharis,1AuLBccAAAAJ
Δημήτριος Θηλυκός,Dimitrios Thilykos,Μαθηματικών,uoa,Καθηγητής,7623,Dimitrios M. Thilikos,L-q3PPkAAAAJ
Κλεάνθης Θραμπουλίδης,Kleanthis Thrampoulidis,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,19589,Christos Thrampoulidis,X54nJqcAAAAJ
Δημήτριος Ιακωβίδης,Dimitrios Iakovidis,Πληροφορικής με Έμφαση στη Βιοϊατρική,uth, Καθηγητής,4686,Dimitris Iakovidis,Jg1ZJ1wAAAAJ
Δημήτριος Ιωαννίδης,Dimitrios Ioannidis,Οικονομικών Επιστημών,uom,Καθηγητής,19906,Dimitrios Ioannides,Brc7FTEAAAAJ
Ιωάννης Ιωαννίδης,Ioannis Ioannidis,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,19793,Yannis Ioannidis,MIfpzUQAAAAJ
Θεοδώρα Ιωαννίδου,Theodora Ioannidou,Πολιτικών Μηχανικών,auth,Καθηγητής,4017,Theodora Ioannidou,yYZbsa0AAAAJ
Εργίνα Καβαλλιεράτου,Ergina Kavallieratou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,aegean,Αναπληρωτής Καθηγητής,9365,Ergina Kavallieratou,uJVGw7kAAAAJ
Χρυσοβαλάντης Καβουσιανός ,Chrysovalantis Kavousianos ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,1320,Xrysovalantis Kavousianos,GpEoeCUAAAAJ
Δημήτριος Καλλές,Dimitrios Kalles,θετικών Επιστημων και Τεχνολογίας,eap,Καθηγητής,19008,Dimitris Kalles,mfu6U_MAAAAJ
Παναγιώτης Καλνής,Panagiotis Kalnis,Επιστήμης Υπολογιστών,King Abdullah University of Science & Technology,Καθηγητής,1946,Panos Kalnis,-NdSrrYAAAAJ
Αχιλλέας Καμέας,Achilleas Kameas,θετικών Επιστημων και Τεχνολογίας,eap, Καθηγητής,1858,Unknown,Unknown
Γεωργιος     Καμπουρακης ,Georgios     Kampourakis ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,aegean,Καθηγητής,18554,Georgios Kambourakis,LJz0vqQaztcC
Αιμίλιος-Βασίλειος  Καμπουρόπουλος ,Aimilios-Vasileios  Kampouropoulos ,Μουσικών Σπουδών,auth, Καθηγητής,19655,Emilios Cambouropoulos,ZibN-roAAAAJ
Ιωάννης Καραγιάννης,Ioannis Karagiannis,Μηχ. Η/Υ & Πληροφορικής,upatras, Καθηγητής,18311,Ioannis Caragiannis,FSIQi4IAAAAJ
Χαράλαμπος Καραγιαννίδης ,Charalampos Karagiannidis ,Παιδαγωγικό Είδικής Αγωγής,uth,Καθηγητής,7729,Karagiannidis Charalampos,QZQ7DXkAAAAJ
Γεώργιος Καραγιαννίδης ,Georgios Karagiannidis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,19446,George K. Karagiannidis,7FZ1r94AAAAJ
Κωνσταντίνος Καραθανάσις,Konstantinos Karathanasis,School of Music,"University of Oklahoma, USA",Καθηγητής,1212,Unknown,Unknown
Γεωργία Κάραλη,Georgia Karali,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,11144,Georgia Karali,Ae5ALHUAAAAJ
Γεώργιος Καραμπάτης,Georgios Karampatis, Information Systems,University of Maryland Baltimore County (UMBC),Αναπληρωτής Καθηγητής,6153,Unknown,Unknown
Νικόλαος Καραμπετάκης,Nikolaos Karampetakis,Μαθηματικών,auth,Καθηγητής,4693,Nicholas Karampetakis,TkKJCukAAAAJ
Ιωάννης  Καραφυλλίδης ,Ioannis  Karafyllidis ,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,duth,Καθηγητής,18658,Ioannis Karafyllidis,WbkfjB4AAAAJ
Νικόλαος Καραχάλιος,Nikolaos Karachalios,Μαθηματικών,aegean,Καθηγητής,19233,NIKOLAOS KARACHALIOS,Pptq4PwAAAAJ
Γεώργιος Καρύπης,Georgios Karypis,Computer Science and Engineering,University of Minnesota,Καθηγητής,7274,George Karypis,ElqwScwAAAAJ
Ελπίδα Κεραυνού - Παπαηλιού,Elpida Keravnou - Papailiou, Πληροφορικής,Cyprus University of Technology,Καθηγητής,4473,Unknown,Unknown
Αθανάσιος Κεχαγιάς,Athanasios Kechagias,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Αναπληρωτής Καθηγητής,17977,Athanasios Kehagias,AiqUHA8AAAAJ
Κωνσταντίνος Κλουκίνας,Konstantinos Kloukinas, Μicroelectronics engineer,CERN the European Organization for Nuclear Research,Κύριος Ερευνητής,5310,Kostas Kloukinas,tbVLx8sAAAAJ
