name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
Γεώργιος Ραχώνης,Georgios Rachonis,Μαθηματικών,auth,Καθηγητής,19520,Unknown,Unknown
Ιωάννης Ρέκανος,Ioannis Rekanos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,auth,Καθηγητής,19355,Ioannis T. Rekanos,tLc8zDcAAAAJ
Συμεών Ρετάλης,Symeon Retalis,Ψηφιακών Συστημάτων,unipi, Καθηγητής,5704,Symeon Retalis,JUX2KJcAAAAJ
Γεώργιος Ροβιθάκης,Georgios Rovithakis,Ηλεκτρολόγων Μηχ και Μηχ Υπολογιστών,auth,Καθηγητής,11104,George A. Rovithakis,fvaSCo0AAAAJ
Βασίλειος Ρόθος,Vasileios Rothos,Μηχανολόγων Μηχανικών,auth,Καθηγητής,6060,Vassilis Rothos,kQ_xRCIAAAAJ
Παναγιώτης Ροντογιάννης,Panagiotis Rontogiannis,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,6836,Panos Rondogiannis,a6x5amYAAAAJ
Εμμανουήλ Ρουμελιώτης,Emmanouil Roumeliotis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,9385,Unknown,Unknown
Αγγελος Ρουσκας,Angelos Rouskas,Ψηφιακών Συστημάτων,unipi,Καθηγητής,2069,Angelos Rouskas,nmpzcwUAAAAJ
Γεώργιος Ρούσκας,Georgios Rouskas,Computer Science,North Carolina State University ,Καθηγητής,516,George N. Rouskas,tmuBOhwAAAAJ
Αντώνιος Σαββίδης,Antonios Savvidis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,10816,Anthony Savidis,m0b5D28AAAAJ
Δημήτριος Σάμψων,Dimitrios Sampson,Ψηφιακών Συστημάτων,unipi,Καθηγητής,1155,Demetrios Sampson,v_IaAIcAAAAJ
Μαρία - Αικατερίνη Σατρατζέμη,Maria - Aikaterini Satratzemi,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,5697,Maya Satratzemi,meKnrOkAAAAJ
Κυριάκος Σγάρμπας,Kyriakos Sgarmpas,Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών,upatras,Αναπληρωτής Καθηγητής,18767,Kyriakos Sgarbas (Κυριάκος Σγάρμπας),TTgOnWAAAAAJ
Βασίλειος Σεβρόγλου,Vasileios Sevroglou,Στατιστικής και Ασφαλιστικής Επιστήμης,unipi,Αναπληρωτής Καθηγητής,17261,Vassilios Sevroglou,K7yLAhEAAAAJ
Τιμολέων Σελλής,Timoleon Sellis,Swinburne University of Technology,Swinburne University of Technology,Καθηγητής,4653,Timos Sellis,G1Iux80AAAAJ
Γεώργιος Σεργιάδης,Georgios Sergiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,19216,George Sergiadis,TmGjsAoAAAAJ
Δημήτριος Σερπάνος ,Dimitrios Serpanos ,Ηλεκτρολόγων Μηχ και Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,18500,Dimitrios Serpanos,vblYhbcAAAAJ
Νικόλαος Σιδηρόπουλος,Nikolaos Sidiropoulos, Electrical and Computer Engineering,University of Virginia,Professor,4255,Nikolaos Sidiropoulos,ZOkfkFMAAAAJ
Σπυρίδων Σιούτας,Spyridon Sioutas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,6743,Spyros Sioutas,F9-WPBoAAAAJ
Στυλιανός Σίσκος ,Stylianos Siskos ,Φυσικής,auth,Καθηγητής,17844,Stelios Siskos,r26FLSsAAAAJ
Σωτήρης Σκεβούλης,Sotiris Skevoulis,School of Computer Science and Information Systems,Pace University,Kαθηγητής,1723,Sotirios Skevoulis,xDLX2i0AAAAJ
Χαράλαμπος Σκιάνης,Charalampos Skianis,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,aegean, Καθηγητής,18470,Charalabos Skianis,DEdnDtgAAAAJ
Αθανάσιος Σκόδρας,Athanasios Skodras,Ηλεκτρολόγων Μηχ. & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,2250,Athanassios Skodras,dFBXodcAAAAJ
Ιωάννης Σμαραγδάκης,Ioannis Smaragdakis,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,3347,Yannis Smaragdakis,XCJuXcgAAAAJ
Μάκης (Γεράσιμος) Σολωμός,Makis (Gerasimos) Solomos,Département de Musique,"Université Paris 8, EMDCM, France",Καθηγητής,6076,Unknown,Unknown
Δημήτριος Σούντρης,Dimitrios Sountris,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,18456,Dimitrios Soudris,lWuTmpEAAAAJ
Γεώργιος Σπανουδάκης,Georgios Spanoudakis,Computer Science,City University London,Καθηγητής,10542,George Spanoudakis,XQSvrAwAAAAJ
Μαρία Σπηλιοπούλου,Maria Spiliopoulou,Technical and Business Information Systems,Otto-von-Guericke University Magdeburg,Καθηγητής,11496,Myra Spiliopoulou,3r6LmdAAAAAJ
Διομήδης Σπινέλλης,Diomidis Spinellis,Διοικητικής Επιστήμης και Τεχνολογίας,aueb,Καθηγητής,17574,Diomidis Spinellis,RjXNgA8AAAAJ
Κωνσταντίνος Στάθης,Konstantinos Stathis, Computer Science,"Royal Holloway, University of London",Καθηγητής,9780,Kostas Stathis,6Kwf-xkAAAAJ
Ευστάθιος  Σταματάτος ,Efstathios  Stamatatos ,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,aegean,Καθηγητής,6081,Efstathios Stamatatos,xie8sAEAAAAJ
Ιωάννης Σταματίου,Ioannis Stamatiou,Διοίκησης Επιχειρήσεων,upatras,Καθηγητής,3834,Yannis Stamatiou,Uz9SJtgAAAAJ
Παναγιώτης Σταματόπουλος,Panagiotis Stamatopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Επίκουρος Καθηγητής (Μόνιμος),10419,Panagiotis Stamatopoulos,SZ4kZr0AAAAJ
Γεώργιος Στάμου,Georgios Stamou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,16773,Giorgos Stamou,R3y5dxMAAAAJ
Γεώργιος Σταμούλης,Georgios Stamoulis,Τμήμα Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,uth,Καθηγητής,3733,George Stamoulis,5uRFCLsAAAAJ
Αλεξανδρος  Σταυδάς,Alexandros  Stavdas,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,8110,Unknown,Unknown
Ιωάννης  Σταυρακάκης,Ioannis  Stavrakakis,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,10847,Ioannis Stavrakakis,Dh6B_hQAAAAJ
Ανδρέας-Γεώργιος Σταφυλοπάτης,Andreas-Georgios Stafylopatis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18625,Unknown,Unknown
Κωνσταντίνος Στεργίου,Konstantinos Stergiou,Μηχανικών Πληροφορικής και Τηλεπικοινωνιών,uowm,Καθηγητής,19516,Kostas Stergiou,Om3gYEYAAAAJ
Λάμπρος Στεργιούλας,Lampros Stergioulas, Business Transformation,University of Surrey,Καθηγητής,163,Lampros Stergioulas,ZGNS6y0AAAAJ
Κωνσταντίνος Στεφανίδης,Konstantinos Stefanidis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18530,Constantine Stephanidis,EBXa1RQAAAAJ
Ιωάννης Στρατής,Ioannis Stratis,Μαθηματικών,uoa,Καθηγητής,18095,IOANNIS G. STRATIS,hlS6MNcAAAAJ
Ελένη Στρούλια,Eleni Stroulia, Computer Science,University of Alberta,Καθηγητής,2219,Eleni Stroulia,TyM1dLwAAAAJ
Ιωάννης Στυλιανού,Ioannis Stylianou,Επιστήμης Υπολογιστών,uoc,Καθηγητής,9558,Yannis Stylianou,6ZSjpdwAAAAJ
Δημήτριος  Συβρίδης,Dimitrios  Syvridis,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,9533,Dimitris Syvridis,eTLulVMAAAAJ
Ευστάθιος  Συκάς,Efstathios  Sykas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19447,Unknown,Unknown
Αντώνιος Συμβώνης,Antonios Symvonis,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ntua,Καθηγητής,19932,Antonios Symvonis,EHH_0W8AAAAJ
Ανδρέας Συμεωνίδης,Andreas Symeonidis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Αναπληρωτής Καθηγητής,19319,Andreas L. Symeonidis,339uVZQAAAAJ
Γεώργιος Συρακούλης,Georgios Syrakoulis,Ηλεκτρολόγων Μηχ & Μηχ Η/Υ,duth,Καθηγητής,1354,Georgios Ch. Sirakoulis,WhBartYAAAAJ
Βασίλειος Σύρης,Vasileios Syris,Πληροφορικής,aueb,Καθηγητής,19845,Vasilios A. Siris,Vj3O0cEAAAAJ
Μιχαήλ Σφακιανάκης,Michail Sfakianakis,Οργάνωσης και Διοίκησης Επιχειρήσεων,unipi,Καθηγητής,8003,Unknown,Unknown
Χρίστος Σχίζας,Christos Schizas,Computer Science,University of Cyprus,Καθηγητής,2728,Christos N. Schizas,RrUhoesAAAAJ
Παύλος - Πέτρος Σωτηριάδης,Pavlos - Petros Sotiriadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,4578,Paul Sotiriadis,UtDXmH8AAAAJ
Κωνσταντίνος Ταραμπάνης,Konstantinos Tarampanis,Οργάνωσης και Διοίκησης Επιχειρήσεων,uom,Καθηγητής,19611,Konstantinos Tarabanis,4Er0PfgAAAAJ
Μιχαήλ Ταρουδάκης,Michail Taroudakis,Μαθηματικών και Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,9652,Michael Taroudakis,dvcyLcQAAAAJ
Γεώργιος Τζανετάκης,Georgios Tzanetakis, Computer Science,"University of Victoria, Canada",Καθηγητής,384,George Tzanetakis,yPgxxpwAAAAJ
Ελπίδα Τζαφέστα,Elpida Tzafesta,Ιστορίας και Φιλοσοφίας της Επιστήμης,uoa,Αναπληρωτής Καθηγητής,6163,Unknown,Unknown
Αθανάσιος Τζιμογιάννης,Athanasios Tzimogiannis,Κοινωνικής & Εκπαιδευτικής Πολιτικής,uop,Καθηγητής,5404,Athanassios Jimoyiannis,-rBR13oAAAAJ
Γεώργιος Τζιρίτας,Georgios Tziritas,Επιστήμης Υπολογιστών,uoc,Καθηγητής,4745,Georgios Tziritas,mIh2JWAAAAAJ
 Δημήτριος Τζοβάρας , Dimitrios Tzovaras ,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,certh,Διευθυντής Ερευνών,18358,Dimitrios Tzovaras,bZZYuE0AAAAJ
Θεόδωρος Τζουραμάνης,Theodoros Tzouramanis,Πληροφορική με Εφαρμογές στη Βιοϊατρική,uth,Επίκουρος Καθηγητής (Μόνιμος),1166,Theodoros Tzouramanis,Csb5gNYAAAAJ
Στυλιανός  Τζωρτζάκης,Stylianos  Tzortzakis,Επιστήμης και Τεχνολογίας Υλικών,uoc,Καθηγητής,9644,Stelios Tzortzakis,nMJ0DjAAAAAJ
Ιωάννης Τιγκελης ,Ioannis Tigkelis ,Φυσικής,uoa,Καθηγητής,18131,Ioannis Tigelis,9CBNSZsAAAAJ
Ιωάννης Τόλλης,Ioannis Tollis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18418,Ioannis G. Tollis,KmWfVqoAAAAJ
Γεώργιος Τόμπρας ,Georgios Tompras ,Φυσικής,uoa,Καθηγητής,11382,George Tombras,X0y8TooAAAAJ
Γιώργος Τουρλάκης,Giorgos Tourlakis,Department of Electrical Engineering and Computer Science,York University,Καθηγητής,7037,george tourlakis,ubosF3IAAAAJ
 Παναγιώτης Τραχανιάς , Panagiotis Trachanias ,Επιστήμης Υπολογιστών,uoc,Καθηγητής,9346,Panos Trahanias,MwSYJxsAAAAJ
Παναγιώτης Τσακαλίδης,Panagiotis Tsakalidis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,4141,Panagiotis Tsakalides,hSdkUuwAAAAJ
Φίλιππος Τσαλίδης,Filippos Tsalidis,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,duth,Καθηγητής,10999,Philippos Tsalides,xRpwVsoAAAAJ
Ιωάννης Τσαμαρδίνος,Ioannis Tsamardinos,Επιστήμης Υπολογιστών,uoc,Καθηγητής,5078,Ioannis Tsamardinos,7fendUwAAAAJ
Παναγιώτης Τσανάκας,Panagiotis Tsanakas,Ηλεκτρολόγων Μηχ.& Μηχ. Υπολογιστών  ,ntua,Καθηγητής,19188,Panayiotis Tsanakas,UdV8-qIAAAAJ
Βασίλειος Τσαουσίδης,Vasileios Tsaousidis,Ηλεκτρολόγων Μηχ.& Μηχ Η/Υ,duth,Καθηγητής,5340,vassilis tsaoussidis,m3AXAvcAAAAJ
Παναγιώτης Τσαπάρας,Panagiotis Tsaparas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,6621,Panayiotis Tsaparas,Rmds8IcAAAAJ
Νικόλας Τσαπατσούλης,Nikolas Tsapatsoulis, Communication and Internet Studies,cut, Καθηγητής,9900,Nicolas Tsapatsoulis,HGKpT4MAAAAJ
Γεώργιος Τσιατούχας,Georgios Tsiatouchas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,4752,Yiorgos Tsiatouhas,gHsE8pYAAAAJ
Κωνσταντίνος Τσίχλας,Konstantinos Tsichlas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Επίκουρος Καθηγητής (Μόνιμος),22141,Kostas Tsichlas,-KUXfxsAAAAJ
Γεώργιος Τσιχριντζής,Georgios Tsichrintzis,Πληροφορικής,unipi,Καθηγητής,11000,George A Tsihrintzis,QUC1ebEAAAAJ
 Δημήτριος  Τσουκαλάς, Dimitrios  Tsoukalas,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ntua,Καθηγητής,19738,Dimitris Tsoukalas,4hv-l94AAAAJ
Δημήτριος Τσουμάκος,Dimitrios Tsoumakos,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ntua,Αναπληρωτής Καθηγητής,6960,Dimitrios Tsoumakos,IS2FI1oAAAAJ
Αθανάσιος Τυροπάνης,Athanasios Tyropanis,School of Electronics and Computer Science,University of Southampton,Αναπληρωτής Καθηγητής,54,Thanassis Tiropanis,T0MK3pUAAAAJ
Παναγιώτα Φατούρου,Panagiota Fatourou,Επιστήμης Υπολογιστών,uoc,Καθηγήτρια,9534,Panagiota Fatourou,ZgHRkcUAAAAJ
Γεώργιος Φικιώρης,Georgios Fikioris,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,17895,George Fikioris,q2lX-zgAAAAJ
Άννα Φιλίππου,Anna Filippou,Πληροφορικής,University of Cyprus,Αναπληρωτής Καθηγητής,6899,Anna Philippou,Yk7t7mEAAAAJ
Ανδρέας Φλώρος ,Andreas Floros ,Τεχνών Ήχου και Εικόνας,ionio,Καθηγητής,18999,Andreas Floros,mb7ezlMAAAAJ
 Ιωάννης Φούντος , Ioannis Fountos ,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi,Καθηγητής,265,Ioannis Fudos,sx3Y4NsAAAAJ
Ευγενία Φουστούκου,Evgenia Foustoukou,Πληροφορικής,aueb,Επίκουρος Καθηγητής (Μόνιμος),3689,Eugenie Foustoucos,5mes4FYAAAAJ
Δημήτριος Φραντζεσκάκης ,Dimitrios Frantzeskakis ,Φυσικής,uoa,Καθηγητής,18518,Dimitri Frantzeskakis,Iu51sgYAAAAJ
Δημήτριος Φωτάκης,Dimitrios Fotakis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,15257,Dimitris Fotakis,zFDLf0UAAAAJ
Γεώργιος Χαλκιαδάκης,Georgios Chalkiadakis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,19169,Georgios Chalkiadakis,KdYD5-cAAAAJ
Μαρία Χαλκίδη,Maria Chalkidi,Ψηφιακών Συστημάτων,unipi,Αναπληρωτής Καθηγητής,2891,M Halkidi,FknZ1Q8AAAAJ
Αντώνης Χαραλαμπόπουλος,Antonis Charalampopoulos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ntua,Καθηγητής,3667,Antonios Charalambopoulos,VOpTcaMAAAAJ
Αλέξανδρος Χατζηγεωργίου,Alexandros Chatzigeorgiou,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,7433,Alexander Chatzigeorgiou,D4ixXl8AAAAJ
Άρτεμις - Γεωργία Χατζηγεωργίου,Artemis - Georgia Chatzigeorgiou,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,uth,Καθηγητής,19058,Artemis Hatzigeorgiou,iGhiEpEAAAAJ
Ευριπίδης Χατζηκρανιώτης,Evripidis Chatzikraniotis,Φυσικής,auth,Καθηγητής,9997,E Hatzikraniotis,K5h2ihoAAAAJ
Θανάσης Χατζηλάκος,Thanasis Chatzilakos,Πληροφοριακά Συστήματα,ouc,Καθηγητής,1632,Thanasis Hadzilacos,01kuev4AAAAJ
Βάσος Χατζηλάκος,Vasos Chatzilakos,Επιστήμης Υπολογιστών,University of Toronto,Καθηγητής,9285,Unknown,Unknown
Λεόντιος Χατζηλεοντιάδης,Leontios Chatzileontiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,17409,Leontios J. Hadjileontiadis,OfAkcXkAAAAJ
Ιωάννης Χατζηλυγερούδης,Ioannis Chatzilygeroudis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,10476,Ioannis Hatzilygeroudis,RPWrgsgAAAAJ
Αλκιβιάδης Χατζόπουλος ,Alkiviadis Chatzopoulos ,ΗΜΜΥ,auth,Καθηγητής,18940,Unknown,Unknown
Ευθύμιος Χούσος,Efthymios Chousos,Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,2753,Efthymios Housos,nmB_QBoAAAAJ
Βασίλης Χριστοφίδης,Vasilis Christofidis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,6780,Vassilis Christophides,MdUjsa8AAAAJ
Κωνσταντίνος Χρυσαφίνος,Konstantinos Chrysafinos,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ntua,Αναπληρωτής Καθηγητής,23527,Unknown,Unknown
Βασίλειος Χρυσικόπουλος,Vasileios Chrysikopoulos,Πληροφορικής,ionio,Καθηγητής,4753,Unknown,Unknown
Θεόδωρος Χωρίκης,Theodoros Chorikis,Μαθηματικών,uoi,Καθηγητής,9969,Theodoros Horikis,9VDoWOEAAAAJ
Εμμανουήλ Ψαράκης,Emmanouil Psarakis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Αναπληρωτής Καθηγητής,1032,Emmanouil Psarakis,gqDlpycAAAAJ
Ιωάννης Ψαρράς,Ioannis Psarras,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,17431,John Psarras,AMoT_2wAAAAJ
Κων/νος Ψυχαλίνος ,Kon/nos Psychalinos ,Φυσικής,upatras,Καθηγητής,18360,Costas Psychalinos,05wUSN4AAAAJ
