name,romanize name,School-Department,University,University email domain,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,ResearchGate name,ResearchGate url name/id,ResearchGate url type,Search Engine label
 Konstantinos Plataniotis, Konstantinos Plataniotis, Electrical and Computer Engineering,University of Toronto,University of Toronto,Καθηγητής,9137,Konstantinos N Plataniotis,W-4N_2gAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Panayiota Poirazi,Panayiota Poirazi,Ινστιτούτο Μοριακής Βιολογίας και Βιοτεχνολογίας,ITE,ITE,Διευθυντής Ερευνών,18797,Panayiota Poirazi,7IidNJMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Dimitra  Simeonidou,Dimitra  Simeonidou,f Electrical & Electronic Engineering,University of Bristol,University of Bristol,Καθηγητής,5462,"Dimitra Simeonidou FREng, FIEEE",DppopzYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Tania Stathaki,Tania Stathaki,Electrical and Electronic Engineering,Imperial College,Imperial College,Αναπληρωτής Καθηγητής,5624,Tania Stathaki,sAB5gI8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Katia Sycara,Katia Sycara,Computer Science,Carnegie Mellon University,Carnegie Mellon University,Καθηγητής,9864,Katia Sycara,VWv6a9kAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 John Tsotsos, John Tsotsos,Electrical Engineering and Computer Science,York University,York University,Καθηγητής,9059,John K. Tsotsos,Ic6ZXhUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Nicolas Vayatis,Nicolas Vayatis,Mathematics Research Teaching ,ENS Cachan / CMLA,ENS Cachan / CMLA,Καθηγητής,2897,Nicolas Vayatis,IsPkE1wAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Charalambos Vrasidas,Charalambos Vrasidas,School of Education,"Cardet - University of Nicosia, Cyprus","Cardet - University of Nicosia, Cyprus",Καθηγητής,3266,Charalambos Vrasidas,bcAshfkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
George Zouridakis,George Zouridakis,Engineering Technology,University of Houston,University of Houston,Καθηγητής,10132,George Zouridakis,1tQZV14AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Αβούρης,Nikolaos Avouris,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,17657,Nikolaos Avouris,FwuKA4UAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ηρακλής  Αβραμόπουλος,Iraklis  Avramopoulos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17892,Hercules Avramopoulos,hf2txgMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χαρούλα Αγγέλη,Charoula Angeli, Education,Πανεπιστήμιο Κύπρου,ucy,Καθηγητής,1884,Charoula Angeli,3eOMkcUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παντελής Αγγελίδης,Pantelis Angelidis,Μηχανικών Πληροφορικής & Τηλεπικοινωνιών,Πανεπιστήμιο Δυτικής Μακεδονίας,uowm,Καθηγητής,19621,Pantelis Angelidis,a_6ka4oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντινος Μαριος Αγγελοπουλος,Konstantinos Marios Angelopoulos,Computing & Informatics,Bournemouth University,Bournemouth University,Επίκουρος Καθηγητής (Μόνιμος),20799,Constantinos Marios Angelopoulos,iQr8D8UAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κων/νος Αϊδίνης ,Kon/nos Aidinis ,Φυσικής,ΕΚΠΑ,uoa,Αναπληρωτής Καθηγητής,132,Unknown,Unknown,Unknown,Unknown,C J Aidinis,C-J-Aidinis-28700597,scientific-contributions,3
Παναγιώτης Αλεβίζος,Panagiotis Alevizos,Μαθηματικών,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,23939,Panagiotis D. Alevizos,i6uX5zUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Αλεξίου ,Georgios Alexiou ,Μηχ. Η/Υ & Πληροφορικής ,Παν/μιο Πατρών,upatras,Καθηγητής,17242,George  P. Alexiou,OvSCQqoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνιος Αλετράς,Antonios Aletras,Ιατρικής,ΑΠΘ,auth,Καθηγητής,19178,Anthony H. Aletras,1O0vvE0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Αναγνωστόπουλος,Ioannis Anagnostopoulos,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,13705,Ioannis Anagnostopoulos,9UBJ4QEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιλτιάδης  Αναγνώστου,Miltiadis  Anagnostou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19482,Miltiades E. Anagnostou,pvThzK0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Αναστασόπουλος,Vasileios Anastasopoulos,Φυσικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,17596,Vassilis Anastassopoulos,BYcshrUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Ανδρεάδης ,Ioannis Andreadis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,Δημοκρίτειο Πανεπιστήμιο Θράκης,duth,Καθηγητής,6006,Ioannis Andreadis,3wMEVMMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Ανδρέου,Andreas Andreou,Τμήμα Ηλεκτρολόγων Μηχανικών και Τεχνολογιών Πληροφορικής,Τεχνολογικό Πανεπιστήμιο Κύπρου,cut, Καθηγητής,9921,Andreas Andreou,CqlJG_IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαργκερίτα Αντόνα,Margkerita Antona,Ινστιτούτο Πληροφορικής,ΙΤΕ,forth,Κύριος Ερευνητής,19203,Margherita Antona,BSrpFJgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Αντωνίου,Ioannis Antoniou,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,7651,Ioannis E. Antoniou,UMPx3MAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Αντωνόπουλος,Christos Antonopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18399,Unknown,Unknown,Unknown,Unknown,Christos S Antonopoulos,Christos-S-Antonopoulos-33663734,scientific-contributions,3
Θεόδωρος  Αποστολόπουλος,Theodoros  Apostolopoulos,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,19284,Theodore Apostolopoulos,WTg8mXoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνιος Αργυρός ,Antonios Argyros ,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18605,Antonis Argyros,9OieklkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Αχλιόπτας,Dimitrios Achlioptas,Πληροφορικής και Επικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,19967,Dimitris Achlioptas,GBQ6w8IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ Βαζιργιάννης,Michail Vazirgiannis,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,3631,Michalis Vazirgiannis,aWGJYcMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ  Βαρβαρίγος,Emmanouil  Varvarigos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19579,Emmanouel (Manos) Varvarigos,vqtH65oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεοδώρα Βαρβαρίγου,Theodora Varvarigou,Σχολή Ηλεκτρολόγων Μηχ. & Μηχ . Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,1699,Theodora Varvarigou,kueSeb4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ηρακλής Βαρλάμης,Iraklis Varlamis,Πληροφορικής &Τηλεματικής,Χαροκόπειο Πανεπιστήμιο,hua,Αναπληρωτής Καθηγητής,21827,Iraklis Varlamis,SUyTkTAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Βάρσος,Dimitrios Varsos,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,4679,Unknown,Unknown,Unknown,Unknown,D. Varsos,D-Varsos,profile,3
Μιχαήλ Βασιλακόπουλος,Michail Vasilakopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth,Αναπληρωτής Καθηγητής,19189,Michael Vassilakopoulos,A1mijQ8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Βασιλακόπουλος,Georgios Vasilakopoulos,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,6676,George Vassilacopoulos,q8_VODcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Βασιλειάδης,Panagiotis Vasileiadis,Μηχ Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,10082,Panos Vassiliadis,B_Zd1P8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Βασσάλος,Vasileios Vassalos,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,19804,Vasilis Vassalos,oaM-d7QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Βενέρης,Andreas Veneris,ECE ,"University of Toronto, Canada","University of Toronto, Canada",Καθηγητής,7637,Andreas Veneris,ItQhxCkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιάκωβος  Βενιέρης,Iakovos  Venieris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18531,Iakovos S. Venieris,Q0ylKvEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημητριος  Βέργαδος,Dimitrios  Vergados,Πληροφορικής ,Πανεπιστήμιο Πειραιώς,unipi, Καθηγητής,4514,Dimitrios D. Vergados,bP0fRIEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χαρίδημος  Βέργος,Charidimos  Vergos,Μηχ. Η/Υ & Πληροφορικής ,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18796,Haridimos T. Vergos,dYOrcUIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Βερύκιος,Vasileios Verykios,θετικών Επιστημων και Τεχνολογίας,Ελληνικό Ανοικτό Πανεπιστήμιο,eap,Καθηγητής,17293,Vassilios Verykios,Md2HV1cAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαρία  Βίρβου,Maria  Virvou,Πληροφορικής,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,8347,Maria Virvou,Ce6s_FoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεόδωρος Βλάχος,Theodoros Vlachos,Τεχνών Ήχου και Εικόνας,Ιόνιο Πανεπιστήμιο,ionio,Αναπληρωτής Καθηγητής,988,Unknown,Unknown,Unknown,Unknown,Theodore Vlachos,Theodore-Vlachos-10715695,scientific-contributions,3
Κυριάκος Βλάχος,Kyriakos Vlachos,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,17723,Kyriakos Vlachos,dwzqmcQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σπυρίδων Βοσινάκης,Spyridon Vosinakis,Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,Πανεπιστήμιο Αιγαίου,aegean,Αναπληρωτής Καθηγητής,4839,Spyros Vosinakis,KjA46lQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημοσθενης Βουγιουκας ,Dimosthenis Vougioukas ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,19519,Demosthenes Vouyioukas,iYvovHEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Βούρος,Georgios Vouros,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,9884,George Vouros,PBX9aQUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ Βραχάτης,Michail Vrachatis,Μαθηματικών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,17224,Michael N. Vrahatis   (Greek: Μιχαήλ Ν. Βραχάτης),3mQhqcsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δαμιανός Γαβαλάς,Damianos Gavalas,Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,6964,Damianos Gavalas,8kYj-SsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευστράτιος Γαλλόπουλος,Efstratios Gallopoulos,Μηχανικών Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,1041,Efstratios Gallopoulos,WhMzaJwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεόδουλος Γαρεφαλάκης,Theodoulos Garefalakis,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,19418,Theo Garefalakis,O5CqgoUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Γαροφαλάκης,Ioannis Garofalakis,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,9360,John Garofalakis,Lu6f_-wAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μίνως Γαροφαλάκης,Minos Garofalakis,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Καθηγητής,3674,Minos Garofalakis,WemX9rAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνιος Γαστεράτος,Antonios Gasteratos,Μηχανικών Παραγωγής και  Διοίκησης,ΔΠΘ,duth,Καθηγητής,1794,Antonios Gasteratos,ZzxSO8QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Τασούλα Γεωργάκη,Tasoula Georgaki,Μουσικών Σπουδών,Εθνικό Καποδιστριακο Πανεπιστήμιο Αθηνών,uoa, Καθηγητής,18329,anastasia Georgaki,1Q9pOAIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γιώργος Γεωργακόπουλος,Giorgos Georgakopoulos,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Αναπληρωτής Καθηγητής,7075,George Georgakopoulos,AkCowUsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Λεωνίδας Γεωργιάδης,Leonidas Georgiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών ,ΑΠΘ,auth,Καθηγητής,6050,Leonidas Georgiadis,GjFfiVwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Γεωργουλάς ,Nikolaos Georgoulas ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ΔΠΘ,duth,Καθηγητής,2974,Nikolaos Georgoulas,tqxUr4oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Γιακουμάκης,Emmanouil Giakoumakis,Επιστημών και Τεχνολογίας της Πληροφορίας,ΟΠΑ,aueb,Καθηγητής,8268,Emm. Giakoumakis,X3EmbHYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθανάσιος Γιαννακόπουλος,Athanasios Giannakopoulos,Στατιστικής,Οικονομικό Πανεπιστήμιο Αθηνών,aueb,Καθηγητής,17551,A.N.Yannacopoulos,cvgdUCUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Τραιανός Γιούλτσης,Traianos Gioultsis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18133,Traianos Yioultsis,PvzNtsQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Γκιζόπουλος,Dimitrios Gkizopoulos,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,18398,Dimitris Gizopoulos,8V03GF4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δρόσος Γκιντίδης,Drosos Gkintidis,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,17630,Drossos Gintides,iThPi7sAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Γκρίτζαλης,Dimitrios Gkritzalis,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,8292,Dimitris A. Gritzalis,5hIalXgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Στέφανος Γκρίτζαλης,Stefanos Gkritzalis,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,18870,Stefanos Gritzalis,VCU5CYYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος-Όθων Γλεντής,Georgios-Othon Glentis,Πληροφορικής και Τηλεπικοινωνιών,Πανεπιστήμιο Πελοπονήσσου,uop,Καθηγητής,9433,George Glentis,xPq5hU0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημητριος  Γουνόπουλος,Dimitrios  Gounopoulos,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,6445,Dimitrios Gunopulos,PHJokEQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Γραμμαλίδης,Nikolaos Grammalidis,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,ΕΚΕΤΑ,certh,Κύριος Ερευνητής,19358,Nikos Grammalidis,PIKpPjoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεόδωρος Δαλαμάγκας,Theodoros Dalamagkas,Ινστιτούτο Πληροφοριακών Συστημάτων,"Ερευνητικό Κέντρο Καινοτομίας στις Τεχνολογίες της Πληροφορίας, των Επικοινωνιών & τηςΣ Γνώσης - ""ΑΘΗΝΑ"" ",athena-innovation,Διευθυντής Ερευνών,17708,Theodore Dalamagas,WJOLNAYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κώστας Δανιηλίδης,Kostas Daniilidis, Computer and Information Science ,University of Pennsylvania,University of Pennsylvania,Καθηγητής,4678,Kostas Daniilidis,dGs2BcIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ Δεβετσικιώτης - Χατζηνικολάου,Michail Devetsikiotis - Chatzinikolaou,Electrical and Computer Engineering,North Carolina State University,North Carolina State University,Καθηγητής,11511,Michael Devetsikiotis,G5hjq5EAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αλέξιος Δελής,Alexios Delis,Πληροφροικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,19716,Unknown,Unknown,Alexios Delis,15808649,Unknown,Unknown,Unknown,2
Παναγιώτης Δεμέστιχας,Panagiotis Demestichas,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιά,unipi,Καθηγητής,6554,Panagiotis Demestichas,0TYLd78AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αργύριος Δέντσορας,Argyrios Dentsoras,Μηχανολόγων & Αεροναυπηγών Μηχανικών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,10991,Argyris Dentsoras,V6BwW20AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευάγγελος Δερματάς,Evangelos Dermatas,Τμήματος Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,4803,Evangelos Dermatas,ireNT3QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Δημακόπουλος ,Vasileios Dimakopoulos ,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Αναπληρωτής Καθηγητής,522,Vassilios V. Dimakopoulos,JIGQWuAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευθαλία Δημαρά,Efthalia Dimara,Οικονομικών Επιστημών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,8393,Efthalia Dimara,4F-8cl4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αγγελική Δημητρακοπούλου,Angeliki Dimitrakopoulou,Επιστημών Προσχολικής Αγωγής &  Εκπαιδευτικού Σχεδιασμού,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,4399,Angelique Dimitracopoulou,vjVYyXwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Δημόπουλος,Ioannis Dimopoulos,Πληροφορικής,University of Cyprus,University of Cyprus,Καθηγητής,1879,"Ioannis Dimopoulos, Ioannis F. Dimopoulos, Yannis Dimopoulos",DWfINNgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Διαμαντής,Nikolaos Diamantis,School of Mathematical Science,University of Nottingham,University of Nottingham,Αναπληρωτής Καθηγητής,2863,Unknown,Unknown,Unknown,Unknown,Nikolaos Diamantis,Nikolaos-Diamantis,profile,3
