name,romanize name,School-Department,University,University email domain,Rank,Apella_id
Κλεάνθης Θραμπουλίδης,Kleanthis Thrampoulidis,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,19589
Δημήτριος Ιακωβίδης,Dimitrios Iakovidis,Πληροφορικής με Έμφαση στη Βιοϊατρική,Πανεπιστήμιο Θεσσαλίας,uth, Καθηγητής,4686
Δημήτριος Ιωαννίδης,Dimitrios Ioannidis,Οικονομικών Επιστημών,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,19906
Ιωάννης Ιωαννίδης,Ioannis Ioannidis,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,19793
Θεοδώρα Ιωαννίδου,Theodora Ioannidou,Πολιτικών Μηχανικών,ΑΠΘ,auth,Καθηγητής,4017
Εργίνα Καβαλλιεράτου,Ergina Kavallieratou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,Πανεπιστήμιο Αιγαίου,aegean,Αναπληρωτής Καθηγητής,9365
Χρυσοβαλάντης Καβουσιανός ,Chrysovalantis Kavousianos ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,1320
Δημήτριος Καλλές,Dimitrios Kalles,θετικών Επιστημων και Τεχνολογίας,Ελληνικό Ανοικτό Πανεπιστήμιο,eap,Καθηγητής,19008
Παναγιώτης Καλνής,Panagiotis Kalnis,Επιστήμης Υπολογιστών,King Abdullah University of Science & Technology,King Abdullah University of Science & Technology,Καθηγητής,1946
Αχιλλέας Καμέας,Achilleas Kameas,θετικών Επιστημων και Τεχνολογίας,Ελληνικό Ανοικτό Πανεπιστήμιο,eap, Καθηγητής,1858
Γεωργιος     Καμπουρακης ,Georgios     Kampourakis ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,18554
Αιμίλιος-Βασίλειος  Καμπουρόπουλος ,Aimilios-Vasileios  Kampouropoulos ,Μουσικών Σπουδών,ΑΠΘ,auth, Καθηγητής,19655
Ιωάννης Καραγιάννης,Ioannis Karagiannis,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras, Καθηγητής,18311
Χαράλαμπος Καραγιαννίδης ,Charalampos Karagiannidis ,Παιδαγωγικό Είδικής Αγωγής,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,7729
Γεώργιος Καραγιαννίδης ,Georgios Karagiannidis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,19446
Κωνσταντίνος Καραθανάσις,Konstantinos Karathanasis,School of Music,"University of Oklahoma, USA","University of Oklahoma, USA",Καθηγητής,1212
Γεωργία Κάραλη,Georgia Karali,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,11144
Γεώργιος Καραμπάτης,Georgios Karampatis, Information Systems,University of Maryland Baltimore County (UMBC),University of Maryland Baltimore County (UMBC),Αναπληρωτής Καθηγητής,6153
Νικόλαος Καραμπετάκης,Nikolaos Karampetakis,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,4693
Ιωάννης  Καραφυλλίδης ,Ioannis  Karafyllidis ,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,ΔΠΘ,duth,Καθηγητής,18658
Νικόλαος Καραχάλιος,Nikolaos Karachalios,Μαθηματικών,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,19233
Γεώργιος Καρύπης,Georgios Karypis,Computer Science and Engineering,University of Minnesota,University of Minnesota,Καθηγητής,7274
Ελπίδα Κεραυνού - Παπαηλιού,Elpida Keravnou - Papailiou, Πληροφορικής,Cyprus University of Technology,Cyprus University of Technology,Καθηγητής,4473
Αθανάσιος Κεχαγιάς,Athanasios Kechagias,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,17977
Κωνσταντίνος Κλουκίνας,Konstantinos Kloukinas, Μicroelectronics engineer,CERN the European Organization for Nuclear Research,CERN the European Organization for Nuclear Research,Κύριος Ερευνητής,5310
Χριστόφορος Κοζυράκης,Christoforos Kozyrakis, Electrical Engineering and Computer Science,Stanford University,Stanford University,Καθηγητής,6966
Νεκτάριος Κοζύρης,Nektarios Kozyris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19471
Χρυσή Κοκολογιαννάκη,Chrysi Kokologiannaki,Μαθηματικών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,19951
