name,romanize name,School-Department,University,University email domain,Rank,Apella_id
Γεώργιος Στάμου,Georgios Stamou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,16773
Γεώργιος Σταμούλης,Georgios Stamoulis,Τμήμα Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,3733
Αλεξανδρος  Σταυδάς,Alexandros  Stavdas,Πληροφορικής και Τηλεπικοινωνιών,Πανεπιστήμιο Πελοποννήσου,uop,Καθηγητής,8110
Ιωάννης  Σταυρακάκης,Ioannis  Stavrakakis,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,10847
Ανδρέας-Γεώργιος Σταφυλοπάτης,Andreas-Georgios Stafylopatis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18625
Κωνσταντίνος Στεργίου,Konstantinos Stergiou,Μηχανικών Πληροφορικής και Τηλεπικοινωνιών,Πανεπιστήμιο Δυτικής Μακεδονίας,uowm,Καθηγητής,19516
Λάμπρος Στεργιούλας,Lampros Stergioulas, Business Transformation,University of Surrey,University of Surrey,Καθηγητής,163
Κωνσταντίνος Στεφανίδης,Konstantinos Stefanidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18530
Ιωάννης Στρατής,Ioannis Stratis,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,18095
Ελένη Στρούλια,Eleni Stroulia, Computer Science,University of Alberta,University of Alberta,Καθηγητής,2219
Ιωάννης Στυλιανού,Ioannis Stylianou,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9558
Δημήτριος  Συβρίδης,Dimitrios  Syvridis,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,9533
Ευστάθιος  Συκάς,Efstathios  Sykas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19447
Αντώνιος Συμβώνης,Antonios Symvonis,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,19932
Ανδρέας Συμεωνίδης,Andreas Symeonidis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,19319
Γεώργιος Συρακούλης,Georgios Syrakoulis,Ηλεκτρολόγων Μηχ & Μηχ Η/Υ,ΔΠΘ,duth,Καθηγητής,1354
Βασίλειος Σύρης,Vasileios Syris,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,19845
Μιχαήλ Σφακιανάκης,Michail Sfakianakis,Οργάνωσης και Διοίκησης Επιχειρήσεων,Πανεπιστήμιο Πειραιως,unipi,Καθηγητής,8003
Χρίστος Σχίζας,Christos Schizas,Computer Science,University of Cyprus,University of Cyprus,Καθηγητής,2728
Παύλος - Πέτρος Σωτηριάδης,Pavlos - Petros Sotiriadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,4578
Κωνσταντίνος Ταραμπάνης,Konstantinos Tarampanis,Οργάνωσης και Διοίκησης Επιχειρήσεων,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,19611
Μιχαήλ Ταρουδάκης,Michail Taroudakis,Μαθηματικών και Εφαρμοσμένων Μαθηματικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9652
Γεώργιος Τζανετάκης,Georgios Tzanetakis, Computer Science,"University of Victoria, Canada","University of Victoria, Canada",Καθηγητής,384
Ελπίδα Τζαφέστα,Elpida Tzafesta,Ιστορίας και Φιλοσοφίας της Επιστήμης,ΕΚΠΑ,uoa,Αναπληρωτής Καθηγητής,6163
Αθανάσιος Τζιμογιάννης,Athanasios Tzimogiannis,Κοινωνικής & Εκπαιδευτικής Πολιτικής,Πανεπιστήμιο Πελοποννήσου,uop,Καθηγητής,5404
Γεώργιος Τζιρίτας,Georgios Tziritas,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,4745
 Δημήτριος Τζοβάρας , Dimitrios Tzovaras ,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,ΕΚΕΤΑ,certh,Διευθυντής Ερευνών,18358
Θεόδωρος Τζουραμάνης,Theodoros Tzouramanis,Πληροφορική με Εφαρμογές στη Βιοϊατρική,Πανεπιστήμιο Θεσσαλίας,uth,Επίκουρος Καθηγητής (Μόνιμος),1166
Στυλιανός  Τζωρτζάκης,Stylianos  Tzortzakis,Επιστήμης και Τεχνολογίας Υλικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9644
Ιωάννης Τιγκελης ,Ioannis Tigkelis ,Φυσικής,ΕΚΠΑ,uoa,Καθηγητής,18131
Ιωάννης Τόλλης,Ioannis Tollis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18418
Γεώργιος Τόμπρας ,Georgios Tompras ,Φυσικής,ΕΚΠΑ,uoa,Καθηγητής,11382
Γιώργος Τουρλάκης,Giorgos Tourlakis,Department of Electrical Engineering and Computer Science,York University,York University,Καθηγητής,7037
 Παναγιώτης Τραχανιάς , Panagiotis Trachanias ,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9346
Παναγιώτης Τσακαλίδης,Panagiotis Tsakalidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,4141
Φίλιππος Τσαλίδης,Filippos Tsalidis,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,ΔΠΘ,duth,Καθηγητής,10999
Ιωάννης Τσαμαρδίνος,Ioannis Tsamardinos,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,5078
Παναγιώτης Τσανάκας,Panagiotis Tsanakas,Ηλεκτρολόγων Μηχ.& Μηχ. Υπολογιστών  ,ΕΜΠ,ntua,Καθηγητής,19188
Βασίλειος Τσαουσίδης,Vasileios Tsaousidis,Ηλεκτρολόγων Μηχ.& Μηχ Η/Υ,ΔΠΘ,duth,Καθηγητής,5340
Παναγιώτης Τσαπάρας,Panagiotis Tsaparas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Αναπληρωτής Καθηγητής,6621
Νικόλας Τσαπατσούλης,Nikolas Tsapatsoulis, Communication and Internet Studies,Τεχνολογικό Πανεπιστήμιο Κύπρου,cut, Καθηγητής,9900
Γεώργιος Τσιατούχας,Georgios Tsiatouchas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,4752
Κωνσταντίνος Τσίχλας,Konstantinos Tsichlas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Επίκουρος Καθηγητής (Μόνιμος),22141
Γεώργιος Τσιχριντζής,Georgios Tsichrintzis,Πληροφορικής,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,11000
 Δημήτριος  Τσουκαλάς, Dimitrios  Tsoukalas,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,19738
Δημήτριος Τσουμάκος,Dimitrios Tsoumakos,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,6960
Αθανάσιος Τυροπάνης,Athanasios Tyropanis,School of Electronics and Computer Science,University of Southampton,University of Southampton,Αναπληρωτής Καθηγητής,54
Παναγιώτα Φατούρου,Panagiota Fatourou,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγήτρια,9534
Γεώργιος Φικιώρης,Georgios Fikioris,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17895
Άννα Φιλίππου,Anna Filippou,Πληροφορικής,University of Cyprus,University of Cyprus,Αναπληρωτής Καθηγητής,6899
Ανδρέας Φλώρος ,Andreas Floros ,Τεχνών Ήχου και Εικόνας,Ιόνιο Πανεπιστήμιο,ionio,Καθηγητής,18999
 Ιωάννης Φούντος , Ioannis Fountos ,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστημιο Ιωαννίνων,uoi,Καθηγητής,265
Ευγενία Φουστούκου,Evgenia Foustoukou,Πληροφορικής,ΟΠΑ,aueb,Επίκουρος Καθηγητής (Μόνιμος),3689
Δημήτριος Φραντζεσκάκης ,Dimitrios Frantzeskakis ,Φυσικής,ΕΚΠΑ,uoa,Καθηγητής,18518
Δημήτριος Φωτάκης,Dimitrios Fotakis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,15257
Γεώργιος Χαλκιαδάκης,Georgios Chalkiadakis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Αναπληρωτής Καθηγητής,19169
Μαρία Χαλκίδη,Maria Chalkidi,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Αναπληρωτής Καθηγητής,2891
Αντώνης Χαραλαμπόπουλος,Antonis Charalampopoulos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,3667
Αλέξανδρος Χατζηγεωργίου,Alexandros Chatzigeorgiou,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,7433
Άρτεμις - Γεωργία Χατζηγεωργίου,Artemis - Georgia Chatzigeorgiou,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,19058
Ευριπίδης Χατζηκρανιώτης,Evripidis Chatzikraniotis,Φυσικής,ΑΠΘ,auth,Καθηγητής,9997
Θανάσης Χατζηλάκος,Thanasis Chatzilakos,Πληροφοριακά Συστήματα,Ανοικτό Πανεπιστήμιο Κύπρου,ouc,Καθηγητής,1632
Βάσος Χατζηλάκος,Vasos Chatzilakos,Επιστήμης Υπολογιστών,University of Toronto,University of Toronto,Καθηγητής,9285
Λεόντιος Χατζηλεοντιάδης,Leontios Chatzileontiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,17409
Ιωάννης Χατζηλυγερούδης,Ioannis Chatzilygeroudis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,10476
Αλκιβιάδης Χατζόπουλος ,Alkiviadis Chatzopoulos ,ΗΜΜΥ,ΑΠΘ,auth,Καθηγητής,18940
Ευθύμιος Χούσος,Efthymios Chousos,Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,2753
Βασίλης Χριστοφίδης,Vasilis Christofidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,6780
Κωνσταντίνος Χρυσαφίνος,Konstantinos Chrysafinos,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,23527
Βασίλειος Χρυσικόπουλος,Vasileios Chrysikopoulos,Πληροφορικής,Ιόνιο Πανεπιστήμιο,ionio,Καθηγητής,4753
Θεόδωρος Χωρίκης,Theodoros Chorikis,Μαθηματικών,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,9969
Εμμανουήλ Ψαράκης,Emmanouil Psarakis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,1032
Ιωάννης Ψαρράς,Ioannis Psarras,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17431
Κων/νος Ψυχαλίνος ,Kon/nos Psychalinos ,Φυσικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18360
